gene_name	log2FoldChange_ITLvsC_siS	padjvalue_ITLvsC_siS	log2FoldChange_ITLvsC_siC	padjvalue_ITLvsC_siC	log2FoldChange_siS.vs.siC_ITL	pvalue_siS.vs.siC_ITL	log2FoldChange_siS.vs.siC_untr	pvalue_siS.vs.siC_untr	up_active_enhancers	down_active_enhancers	up_active_promoters	down_active_promoters	up_enhancers	down_enhancers	up_promoters	down_promoters	active_prom	active_enh
PPWD1	0.125357252124232	0.66757491709239	0.154939414906354	0.625293119693159	-0.0386342187826188	0.82870973518217	-0.0185607258359795	0.906421595186807	No	No	No	No	No	No	No	No	Yes	NA
PQBP1	0.3390914	0.1050788	0.379896990075402	0.0733019826372918	0.0204215927487874	0.829048549380548	0.0561923362029801	0.48899934593385	No	No	No	No	No	No	No	No	Yes	Yes
PRADC1	-1.93216481481909	3.16525398190297e-12	-1.91630879271319	1.87564393053566e-11	0.0718924061134871	0.837220806528887	0.0799861515460568	0.585534308005074	No	No	No	No	No	No	No	No	Yes	NA
PRAF2	0.4696401	0.1801703	0.585078246534701	0.106970891113317	-0.0661655560605554	0.801458117795955	0.0342597646655636	0.887269671645338	No	No	No	No	No	No	No	No	Yes	NA
PRAM1	-2.19574824982438	1.28841168135616e-18	-2.30759274622238	5.29035133201691e-31	0.304511206146107	0.0203799053343315	0.186241506384936	0.0479856579027805	Yes	No	No	No	Yes	No	No	No	Yes	Yes
PRC1	1.05145787916847	0.0153792545749853	1.21135904375103	0.00121645278212481	-0.187258881247613	0.51258805947514	-0.0268890933183344	0.934059540569065	No	No	No	No	No	No	No	No	Yes	NA
PRCC	0.292029072786623	0.11350472389995	0.228879304990344	0.281354499385718	0.0449132841785353	0.671163967537497	-0.023330821572224	0.793155972106252	No	No	No	Yes	No	No	No	Yes	Yes	NA
PRCP	0.0203001762461361	0.953057981649113	-0.264414867388698	0.328387505212849	0.299026534609104	0.0225120821217391	0.00767172261091547	0.938577575914819	No	No	No	No	No	No	No	No	NA	NA
PRDM1	3.522901	2.832771e-55	3.47634950346571	1.03177680135262e-39	-0.0613742221706593	0.466510019955442	-0.109296904339376	0.377258643637601	Yes	No	No	No	Yes	No	No	No	Yes	Yes
PRDM10	0.217921691522618	0.509461298305826	0.286547421100392	0.358525488119146	-0.180737354648837	0.39026066083892	-0.122614711760731	0.491441301746503	No	No	No	No	No	No	No	No	Yes	Yes
PRDM11	0.745114235425944	0.111766147359765	0.825479756233072	0.0525950741333383	-0.00206569209951061	0.995111834253065	0.067551453038492	0.846619632794251	No	No	No	No	No	No	No	No	NA	Yes
PRDM15	-0.262639313690152	0.325654767814155	0.0640688429839946	0.841291547145566	-0.184572659591659	0.313111779613462	0.133274145062285	0.348776572854648	No	No	No	No	No	No	No	No	Yes	Yes
PRDM2	0.557388919839494	0.0101952562223117	0.637803990028339	0.00199071779317738	-0.0924040280276049	0.382319686783763	-0.0175862456634272	0.857100218066309	Yes	No	No	No	Yes	No	No	No	Yes	Yes
PRDM4	-0.430936380375899	0.0500809407254218	-0.458328794921325	0.0280785175838322	0.0140101051754226	0.912535385895224	-0.0182336908378875	0.846725865707761	No	No	No	Yes	No	No	No	Yes	Yes	NA
PRDM8	2.16726137100719	1.13700995820393e-05	2.06672943596925	2.26968872266205e-05	-0.196710574405815	0.31457349909664	-0.267017337951857	0.363370125430253	Yes	No	No	No	Yes	No	No	No	Yes	Yes
PRDX1	-0.0622550933324016	0.821524527013983	-0.195863557270145	0.380803696874556	0.0704688134868106	0.430636386628227	-0.0699161602500653	0.272295000028949	No	No	No	No	No	No	No	No	Yes	Yes
PRDX2	-0.984609829542677	0.000714395912497087	-1.09991967723807	0.000450150232559973	0.42111831854183	0.174188605801178	0.300690356453847	0.0857449739711067	No	No	No	Yes	No	No	No	Yes	Yes	NA
PRDX3	0.052663156749963	0.811999542737176	-0.0442098947825595	0.868290058361469	0.0876774151520346	0.421980967359002	-0.0100485815306091	0.907364634318999	No	No	No	No	No	No	No	No	Yes	NA
PRDX4	-0.3034989	0.1997694	-0.273703294915898	0.275795659761597	0.0661849328532476	0.676500850693814	0.0902213888687729	0.439311517958121	No	No	No	No	No	No	No	No	NA	NA
PRDX5	-0.51599878655246	0.0152655017780513	-0.590918619539706	0.0072638406200007	0.134920642537206	0.162932472231673	0.0539399179671812	0.492754622827537	No	No	No	No	No	No	No	No	Yes	Yes
PRDX6	0.293792039418711	0.106924476442795	0.204928562734839	0.337644867197895	0.126759707389543	0.228555085974274	0.0327909770690934	0.708986560116606	No	No	No	No	No	No	No	No	Yes	NA
PREB	-0.377191735207524	0.030702389491196	-0.410157366061054	0.0656651201343164	0.0300821280698168	0.771790281839911	-0.00737784764752565	0.922977664305825	No	No	No	No	No	No	No	No	Yes	NA
PRELID1	0.280623	0.1828893	0.220190177729333	0.426611144813595	0.10869109890821	0.182039955561963	0.0427060058373236	0.540879130516986	No	No	No	No	No	No	No	No	Yes	NA
PRELID3A	-2.74992575470167	7.7838062859763e-11	-3.30516545808821	7.61662756111099e-10	0.571370886154545	0.389313422287572	-0.0124549180990872	0.949191580532064	No	No	No	No	No	No	No	No	NA	NA
PRELID3B	0.538219092340404	0.00657881941597652	0.2728912345609	0.260082682386578	0.158707167091937	0.270225216425969	-0.108706920626372	0.376146478332588	No	No	No	No	No	No	No	No	NA	NA
PREP	0.07685876	0.7613778	-0.0767530323633181	0.761292808892136	0.0847262115528721	0.516153723560636	-0.0719154948776151	0.500193581721416	No	No	No	No	No	No	No	No	Yes	NA
PREPL	-0.589550198926532	0.0450022698651296	-0.415645149428765	0.206505659423719	-0.0830483759006049	0.74147395625464	0.0875566422260199	0.599961504064019	No	No	No	No	No	No	No	No	Yes	NA
PREX1	-0.0380342502543956	0.855537485332742	0.0179429235316433	0.947469356677558	-0.0938907629302978	0.225851955155353	-0.0434249273990192	0.505600256055061	Yes	No	No	No	Yes	No	No	No	Yes	Yes
PRF1	2.09377577784117	0.101334399780182	2.93567076213581	0.000581911219678816	-0.683312085797361	0.283275398027232	0.335189445233169	0.744749445914621	No	No	No	No	No	No	No	No	NA	NA
PRH1	0.412135859093359	0.621937018959994	0.669016038568709	0.356993659225926	-0.351210866163075	0.556511795119073	-0.109638960436088	0.838194355618863	No	No	No	No	No	No	No	No	NA	NA
PRICKLE3	-0.3818636	0.1245539	-0.38383162343912	0.171198126485696	0.0754432386980521	0.719921405889362	0.0693942826063863	0.630104107820346	No	No	No	No	No	No	No	No	Yes	NA
PRIM1	-1.12957325013458	0.189485002651372	-0.845003170734065	0.424938179476781	0.186052344926243	0.83346368520103	0.489853774127148	0.321441471100647	No	No	No	No	No	No	No	No	Yes	NA
PRIM2	0.5320358	0.2162794	0.367321005235502	0.404576894644073	-0.009019427105719	0.978512056349336	-0.179052625092651	0.551981870568488	No	No	No	No	No	No	No	No	NA	NA
PRIMPOL	-0.584750990755073	0.312650014142393	-0.235223323812634	0.712976698255943	0.0405746545768548	0.933704987358739	0.385884606510355	0.2395239636377	No	No	No	No	No	No	No	No	Yes	NA
PRKAA1	0.221716058704684	0.356193967691112	0.368361312630999	0.140409497129187	-0.118953438661696	0.432343663689181	0.0195150701958081	0.886164006202642	No	No	No	No	No	No	No	No	Yes	Yes
PRKAB1	-0.499030637029256	0.0382280487178888	-0.570565007541932	0.0337921130934221	-0.0135728429739448	0.941691432834167	-0.0919200888753123	0.431899066597103	No	No	No	No	No	No	No	No	Yes	NA
PRKAB2	-1.18457750365457	0.000169847372396378	-0.953123137806244	0.00460322371233637	-0.246447050623861	0.459500966282015	-0.0254285999145043	0.889846994779158	No	No	No	No	No	No	No	No	Yes	NA
PRKACA	-0.317374024896733	0.0685397123720429	-0.359448830737319	0.0533929483298455	0.15618040037096	0.0934950993214531	0.106788768073481	0.189513448320113	No	No	No	Yes	No	No	No	Yes	Yes	Yes
PRKACB	-2.69274696982569	8.50988538144614e-06	-2.36092410623464	0.000352435482389665	0.238627649154519	0.79081325427089	0.573493789350228	0.0580102835138264	No	No	No	No	No	No	No	No	Yes	NA
PRKAG1	0.0275086475585985	0.912036438751337	0.00734304754378091	0.97849991231499	0.0651852172407121	0.601292009319314	0.0395571435266067	0.692206295296946	No	No	No	No	No	No	No	No	Yes	NA
PRKAG2	1.214137	1.270789e-08	1.16988398858511	3.9410756382034e-11	-0.0311091922248259	0.770073445621976	-0.0818263818370602	0.425714059197871	No	No	No	No	No	No	No	No	Yes	Yes
PRKAR1A	0.561198408328275	0.00163120082629002	0.375273427429944	0.0802273872087428	0.176466257491009	0.0779581608674804	-0.0101355851406149	0.91062423015754	No	No	No	No	No	No	No	No	Yes	Yes
PRKAR1B	-0.7396418	0.1306427	-0.297603852680599	0.599549103749483	-0.155562888196388	0.721797294366957	0.275003360370627	0.344380976795067	No	No	No	No	No	No	No	No	Yes	Yes
PRKAR2A	-0.646652575341098	0.00756802188713638	-0.681329557245062	0.000440669802288668	-0.0506144633884821	0.714869887724044	-0.08931396252603	0.33917186764321	No	No	No	No	No	No	No	No	Yes	NA
PRKAR2B	-0.4128871	0.6706871	-0.763044545831016	0.483403222639531	0.635351321804286	0.462398232852768	0.243145514044847	0.661383816555366	No	No	No	No	No	No	No	Yes	NA	NA
PRKCA	-2.03390499314135	1.12643134189186e-18	-2.16061462879719	5.44538022966504e-17	0.229273170706308	0.427314440542783	0.0924865647109454	0.409675084699776	No	No	No	Yes	No	No	No	Yes	Yes	NA
PRKCB	-0.962004315619385	0.00010206443615439	-0.91660410790117	0.000878661332317421	0.00398408524808258	0.975171280603737	0.0414541673540517	0.630282792656721	No	No	No	No	No	No	No	No	Yes	Yes
PRKCD	0.570705574254323	0.00185582091623374	0.701231091448501	6.89692490976913e-05	-0.0594888268834585	0.418317195380768	0.0652447714146715	0.331138501540892	No	No	No	No	No	No	No	No	Yes	Yes
PRKCE	2.47257626246861	1.77843448211533e-14	2.00172354989545	5.6313351911445e-13	0.289831689609169	0.132685712456315	-0.179185084362708	0.558316587977876	No	No	No	No	No	No	No	No	Yes	NA
PRKCH	1.75043988334235	2.12734678701962e-08	1.95787027957397	7.42740947674145e-12	-0.0284979210814089	0.877174261922708	0.178844685904768	0.489702802554394	Yes	No	No	No	Yes	No	No	No	Yes	Yes
PRKCI	-0.135742937751422	0.724259440716171	0.119073476702561	0.760247851864191	-0.142517045843725	0.587029010885986	0.100964089844511	0.624582340449164	No	No	No	No	No	No	No	No	Yes	NA
PRKCSH	-0.0194599600981612	0.930741011276789	0.0955369172096656	0.694959641082898	-0.0285657256806481	0.714024277217405	0.0805345715319834	0.231613953667615	No	No	No	No	No	No	No	No	Yes	Yes
PRKCZ	-0.593279786440796	0.612458350568447	-0.126774514812651	0.929150049149425	0.0358937663047336	0.971109266867363	0.429578813950075	0.522617488429292	No	No	No	No	No	No	No	No	NA	Yes
PRKD2	0.375157545081398	0.085520787685919	0.739769700120337	0.00203086373607706	-0.167535137202745	0.139054410435678	0.193722079951444	0.047232847272559	No	No	No	No	No	No	No	No	Yes	Yes
PRKD3	0.00253993504290006	0.994838225439097	-0.00726432305455229	0.984217942312042	0.108194848711037	0.607458833088362	0.0841897367852045	0.607267175893737	No	No	No	No	No	No	No	No	Yes	NA
PRKDC	-0.7937074	0.003971169	-0.811797260147954	0.000336095974312049	-0.0539151496568101	0.678705757986673	-0.0799871155854312	0.333137737330428	No	No	No	No	No	No	No	No	Yes	NA
PRKRA	-0.0633616148594087	0.851060925353318	-0.0583987510714109	0.877353015994175	0.0288022881795584	0.892147933900908	0.0247796081168054	0.877256219424417	No	No	No	No	No	No	No	No	Yes	NA
PRKRIP1	-0.1181999	0.6624397	0.012694852570563	0.962563263487144	-0.103433981145643	0.432042560558989	0.022889941863748	0.827332100883828	No	No	No	No	No	No	No	No	NA	Yes
PRKX	-0.2078109	0.4094951	0.147763672367814	0.625889730588879	-0.254877405061042	0.107018699733585	0.0919495104886632	0.472745527009375	No	No	No	No	No	No	No	No	Yes	Yes
PRKY	-0.1949132	0.5822034	0.20197741966477	0.595159006122009	-0.0399568574947213	0.847941963312676	0.347605980334313	0.0529915631748754	No	No	No	No	No	No	No	No	Yes	NA
PRLR	3.58185595821772	4.4724701468647e-30	3.52205404948219	1.85496299592736e-25	-0.186739317754696	0.310650687419724	-0.265056253170912	0.548383717131147	No	No	No	No	No	No	No	No	Yes	Yes
PRMT1	-0.151158619134834	0.461264275260158	-0.177304319465755	0.449409334010734	0.05734334020431	0.535898994111558	0.0268448126874057	0.734158465603662	No	No	No	No	No	No	No	No	Yes	NA
PRMT2	0.000256700514740834	0.999268728512651	-0.0398394723392038	0.869173036747479	0.044478028529332	0.612394956568939	-0.000599383505834296	0.993413731257258	No	No	No	No	No	No	No	No	Yes	Yes
PRMT3	-0.0561670264684161	0.889453910456964	-0.247380535095586	0.537501782779967	0.145828564538781	0.568102128632357	-0.0612439400132731	0.75281227731623	No	No	No	No	No	No	No	No	Yes	NA
